ipdb_id,fc_slug,title,format,rule,cite_ipdb,quote
6132,5th-inning,5th Inning,shuffle,override,6132,A puck is slid across the playfield to land in the inclined scoring area.
6278,all-the-way,All The Way,shuffle,shuffle,6278,It is a rebound shuffleboard.
6499,ballista,Ballista,video-game,video-game,6499,It is a video game where a pinball playfield is displayed on the video screen to the player who sits inside a large sphere intended to represent a pinball.
6993,balls-a-poppin-2,Balls-A-Poppin',miscellaneous,catch-all,6993,This is Not A Pinball.
6508,bally-alley,Bally Alley,miscellaneous,override,6508,It is a wall game with wireless radio remote control.
6524,bally-baseball,Bally Baseball,shuffle,override,6524,This is a puck game.
6040,bally-derby-3,Bally Derby,gun-game,gun-game,6040,It is a gun game with a pop-up array of 20 holes and mechanical animation of five horses.
6509,bally-lane,Bally Lane,miscellaneous,override,6509,It is a wall game with wireless radio remote control.
3025,ballys-club-house,Bally's Club House,slot-machine,override,3025,"This game appears on pinball lists as the two-word name ""Club House"" but actually it is Not A Pinball and is an upright 7-coin console slot machine."
7013,barracuda,Barracuda,slot-machine,slot-machine,7013,"Also called a ""flasher type"" slot machine."
6378,baseball-16,Baseball,shuffle,shuffle,6378,It is a shuffle alley with a backbox that may be mistaken for a bat game at first glance.
193,basketball-champ,Basketball Champ,miscellaneous,catch-all,193,This game is Not A Pinball.
6976,big-3,Big 3,slot-machine,slot-machine,6976,"Also called a ""flasher type"" slot machine."
6391,big-league-6,Big League,miscellaneous,catch-all,6391,A handwritten list that Steve Kordek compiled segregated this game from pinball machines on that list and put it with other 1950 games that are Not A Pinball.
5081,big-round-up-2,Big Round-Up,slot-machine,slot-machine,5081,"Also called a ""flasher type"" slot machine."
6957,big-tent,Big Tent,slot-machine,slot-machine,6957,"Also called a ""flasher type"" slot machine."
3952,big-top-mini-pinball,Big Top Mini Pinball,miscellaneous,catch-all,3952,"This is a gumball dispenser, not a pinball machine."
3643,black-dragon,Black Dragon,miscellaneous,catch-all,3643,This game is not a pinball but may be identified as one in pinball resources.
7014,blue-spot,Blue Spot,slot-machine,slot-machine,7014,"Also called a ""flasher type"" slot machine."
6394,bowl-a-line-3,Bowl-A-Line,shuffle,shuffle,6394,"In Billboard, this game was identified as a shuffle alley."
6390,bowl-a-ray,Bowl-A-Ray,miscellaneous,catch-all,6390,We are marking this game as Not A Pinball.
3662,bowling-alley-2,Bowling Alley,shuffle,shuffle,3662,"It is a shuffle bowler, also called a puck bowler, but may be listed as a pinball in other resources."
6389,bowling-league-2,Bowling League,shuffle,shuffle,6389,It is a puck bowler.
6782,bulls-eye-drop-ball-rebound-model,Bulls-Eye Drop Ball (Rebound Model),shuffle,shuffle,6782,It is a rebound shuffleboard game and is included here for clarification purposes.
5976,bulls-eye-drop-ball-upright-model,Bulls-Eye Drop Ball (Upright Model),miscellaneous,override,5976,This game is not a pinball but is included here for clarification purposes.
6714,bumper-shuffle,Bumper Shuffle,miscellaneous,catch-all,6714,This is not a pinball.
7015,cherry-parade,Cherry Parade,slot-machine,slot-machine,7015,"Also called a ""flasher type"" slot machine."
6651,circus-14,Circus,slot-machine,slot-machine,6651,"Also called a ""flasher type"" slot machine."
5444,circus-romance,Circus Romance,miscellaneous,catch-all,5444,This is not a pinball but is included here for clarification purposes because it is sometimes referenced in Billboard pinball ads without mentioning that it is an arcade game.
6393,console-baseball,Console Baseball,miscellaneous,catch-all,6393,A handwritten list that Steve Kordek compiled segregated this game from pinball machines on that list and put it with other 1950 games that are Not A Pinball.
7016,crazy-gang,Crazy Gang,slot-machine,slot-machine,7016,"Also called a ""flasher type"" slot machine."
6961,deluxe-red-arrow,Deluxe Red Arrow,slot-machine,slot-machine,6961,"Also called a ""flasher type"" slot machine."
702,domino-bowler,Domino Bowler,shuffle,shuffle,702,It is a puck bowler (shuffle alley).
6979,double-shot,Double Shot,slot-machine,slot-machine,6979,"Also called a ""flasher type"" slot machine."
6973,flash-back,Flash Back,slot-machine,slot-machine,6973,"Also called a ""flasher type"" slot machine."
3101,flasher-bell-fruit,Flasher (Bell Fruit),slot-machine,slot-machine,3101,It operates like a slot machine.
6746,flasher-race-horse,Flasher (Race Horse),slot-machine,slot-machine,6746,It operates like a slot machine.
5697,flip-skill,Flip Skill,miscellaneous,catch-all,5697,This is not a pinball but is included here for clarification purposes only.
5977,flipper-3,Flipper,miscellaneous,catch-all,5977,This game is not a pinball but is shown here for clarification.
976,futurity-2,Futurity,miscellaneous,catch-all,976,This game is not a pinball and is listed here for clarification purposes.
1014,glider,Glider,shuffle,shuffle,1014,It is a puck bowler that uses targets instead of bowling pins.
5879,goalee,Goalee,miscellaneous,catch-all,5879,This game is not a pinball game.
4935,gold-mine-3,Gold Mine,shuffle,shuffle,4935,"Bowling machine, not a pinball."
4387,gold-nugget,Gold Nugget,slot-machine,slot-machine,4387,It is a console slot machine.
7017,gold-rush-7,Gold Rush,slot-machine,slot-machine,7017,"Also called a ""flasher type"" slot machine."
6619,gun-smoke-3,Gun Smoke,slot-machine,slot-machine,6619,"Also called a ""flasher type"" slot machine."
5615,hi-fly,Hi Fly,miscellaneous,catch-all,5615,"Because 'Hi Fly' does not use pinballs, we classify it as Not A Pinball and maintain this listing to clarify and expand the Billboard article."
3150,hit-parade-3,Hit Parade,miscellaneous,catch-all,3150,This game is not a pinball but appears on some pinball lists.
4761,home-run-hitter,Home Run Hitter,miscellaneous,catch-all,4761,This is not a pinball nor is it a bat game.
6804,ice-cold-beer-2,Ice Cold Beer,miscellaneous,catch-all,6804,This is Not A Pinball.
6802,ice-cold-beer,Ice Cold Beer,miscellaneous,catch-all,6802,This is Not A Pinball.
6958,jamboree-2,Jamboree,slot-machine,slot-machine,6958,"Also called a ""flasher type"" slot machine."
5561,joker-ball,Joker Ball,miscellaneous,catch-all,5561,This is not a pinball machine but is included here for clarification purposes.
3181,jokers-wild-2,Joker's Wild,miscellaneous,override,3181,This is not a pinball machine but is included here for clarification purposes.
6983,jumbo-60,Jumbo '60,slot-machine,slot-machine,6983,"Also called a ""flasher type"" slot machine."
6982,jumbo-button-console-model,Jumbo (button console model),slot-machine,slot-machine,6982,"Also called a ""flasher type"" slot machine."
6964,jumbo-handle-console-model,Jumbo (handle console model),slot-machine,slot-machine,6964,"Also called a ""flasher type"" slot machine."
1335,jungle-drums,Jungle Drums,gun-game,gun-game,1335,It is really a Gun Game.
6940,lincoln-fields,Lincoln Fields,slot-machine,slot-machine,6940,It is a console slot machine.
